operation,parameter,result,result_description
Decrease,Weight,Magnetism,"One of the phenomena by which materials exert attractive or repulsive forces on other materials. Some well-known materials that exhibit easily detectable magnetic properties (called magnets) are nickel, iron, cobalt, and their alloys; however, all materials are influenced to greater or lesser degree by the presence of a magnetic field."
Decrease,Weight,Melting,A process that results in the phase change of a substance from a solid to a liquid. The internal energy of a solid substance is increased (typically by the absorbtion of heat) to a specific temperature (called the melting point) at which it changes to the liquid phase.
Decrease,Weight,Metal Foam,"A cellular structure consisting of a solid metal, frequently aluminium, containing a large volume fraction of gas-filled pores. The pores can be sealed (closed-cell foam), or they can form an interconnected network (open-cell foam)."
Decrease,Weight,Nanocomposite,"A multiphase solid material where one of the phases has one, two or three dimensions of less than 100 nanometers (nm), or structures having nano-scale repeat distances between the different phases that make up the material. Can include porous media, colloids, gels and copolymers, but is more usually taken to mean the solid combination of a bulk matrix and nano-dimensional phase(s)."
Decrease,Weight,Nanofoam,"A class of nanostructured, porous materials containing a significant population of pores with diameters less than 100 nm. Aerogels are one example of nanofoam."
Decrease,Weight,Nanoporous Material,"Materials consisting of a regular organic or inorganic framework supporting a regular, porous structure. Pores are by definition roughly in the nanometre range."
Decrease,Weight,Parachute,"A device used to slow the motion of an object through an atmosphere by creating drag, or in the case of ram-air parachutes, aerodynamic lift."
Decrease,Weight,Porosity,The quality of being porous - i.e. having voids or spaces within a solid substance within or through which fluids can be present.
Decrease,Weight,Pulley,"A wheel with a groove between two flanges around its circumference. A rope, cable or belt usually runs inside the groove. Pulleys are used to change the direction of an applied force, transmit rotational motion, or realize a mechanical advantage in either a linear or rotational system of motion."
Decrease,Weight,Radioactive Decay,The process in which an unstable atomic nucleus spontaneously loses energy by emitting ionizing particles and radiation.
Decrease,Weight,Rarefaction,"(also called rarefraction) The reduction of a medium's density, or the opposite of compression. Has a variety of causes, such as the passage of a sound wave through a gas, of the diminishing effect of the earth's gravity on the atmosphere with altitude."
Decrease,Weight,Redox Reactions,"Redox (shorthand for oxidation-reduction) reactions describe all chemical reactions in which atoms have their oxidation number (oxidation state) changed. This can be either a simple redox process, such as the oxidation of carbon to yield carbon dioxide (CO2) or the reduction of carbon by hydrogen to yield methane (CH4), or a complex process such as the oxidation of sugar(C6H12O6) in the human body through a series of complex electron transfer processes."
Decrease,Weight,Reduction,"A chemical reaction that involves the gain of electrons or a decrease in the oxidation state by a molecule, atom or ion."
Decrease,Weight,Reticulated Foam,"A very porous, low density solid foam. Reticulated foams are extremely open foams i.e. there are few, if any, intact bubbles or cell windows. In contrast, the foam formed by soap bubbles is composed solely of intact (fully enclosed) bubbles. In a reticulated foam only the linear boundaries where the bubbles meet remain."
Decrease,Weight,Solvation,"(commonly called dissolution) The process of attraction and association of molecules of a solvent with molecules or ions of a solute. As ions dissolve in a solvent they spread out and become surrounded by solvent molecules. The bigger the ion, the more solvent molecules are able to surround it and the more it becomes solvated."
Decrease,Weight,Spin-stabilized Magnetic Levitation,"A phenomenon of magnetic levitation whereby a magnet or array of magnets is levitated via magnetic forces above another magnet or array of magnets, and stabilised by gyroscopic effect due to a spin that is neither too fast, nor too slow."
Decrease,Weight,Sponge,A tool or cleaning aid consisting of porous material.
Decrease,Weight,Stewart Platform,"A type of parallel robot that incorporates six prismatic actuators, commonly hydraulic jacks. These actuators are mounted in pairs to the mechanism's base, crossing over to three mounting points on a top plate. Devices placed on the top plate can be moved in the six degrees of freedom in which it is possible for a freely-suspended body to move."
Decrease,Weight,Sublimation,The change of the physical state of aggregation (or simply state) of matter directly from solid phase to gaseous phase without passing through an intermediate liquid phase.
Decrease,Weight,Suspension,"A heterogeneous fluid containing solid particles that are sufficiently large for sedimentation. Usually they must be larger than 1 micrometer. The internal phase (solid) is dispersed throughout the external phase (fluid - which may be liquid or gas) through mechanical agitation, with the use of certain excipients or suspending agents."
Decrease,Weight,Tensarity,A foundational structure using inflated airbeams and attached stiffeners or cables that gains mechanical advantages for low mass
Decrease,Weight,Wear,The erosion of material from a solid surface by the action of another surface.
Decrease,Weight,Weathering,"The breaking down of Earth's rocks, soils and minerals through direct contact with the planet's atmosphere. Weathering occurs in situ, or 'with no movement', and thus should not be confused with erosion, which involves the movement of rocks and minerals by agents such as water, ice, wind, and gravity."
Decrease,Weight,Weightlessness,"(or zero-g) is any condition equivalent to experiencing little or no acceleration or gravitational attraction, e.g., far from a planet, star, or other massive body, flying an outside loop. From the equivalence principle for acceleration and gravitational attraction it follows that weightlessness can also be experienced in free fall, which is the cause of weightlessness of objects in orbit about the Earth."
Decrease,Weight,Wing in Ground Effect,"A vehicle that attains level flight near the surface of the Earth, made possible by a cushion of high-pressure air created by the aerodynamic interaction between the wings and the surface (ground effect)."
Increase,Brightness,Ablation,"The removal of material from the surface of an object by vaporisation, chipping, or other erosive processes. The term occurs in space physics associated with atmospheric reentry, in glaciology, medicine and passive fire protection. In space vehicle design, ablation is used to both cool and protect mechanical parts and/or payloads that would otherwise be adversely affected by extremely high temperatures."
Increase,Brightness,Absorption (EM radiation),"The process by which the energy of a photon is taken up by matter, typically the electrons of an atom. The electromagnetic energy is transformed to another form of energy, e.g. to heat."
Increase,Brightness,Acousto-optic Effect,"A specific case of photoelasticity, where there is a change of a material's permittivity due to a mechanical strain resulting from an acoustic wave which has been excited within a transparent medium giving rise to variation of the refractive index. This creates a diffraction grating moving with the velocity given by the spread on the sound wave in the medium which defracts light forming a prominent diffraction pattern."
Increase,Brightness,Antibubble,"A droplet of liquid surrounded by a thin film of gas, as opposed to a gas bubble, which is a sphere of gas surrounded by a thin film of liquid. Antibubbles are formed when liquid drops or flows turbulently into the same or another liquid. They can either skim across the surface of a liquid such as water (e.g. water globules), or be completely submerged in the liquid to which they are directed."
Increase,Brightness,Antifoam,"A collection of stabilised antibubbles (antibubble: a droplet of liquid surrounded by a thin film of gas, as opposed to a gas bubble, which is a sphere of gas surrounded by a thin film of liquid)."
Increase,Brightness,Argon Flash,"A method for generating very short and extremely bright flashes of light using a shock wave in argon or other suitable noble gas. The device consists of a vessel filled with argon and a solid explosive charge. The explosion generates a shock wave, which heats the gas to very high temperature (over 104 K). The gas then emits a flash of intense visible and ultraviolet radiation. The amount of explosive can control the intensity of the flash."
Increase,Brightness,Bioluminescence,The production and emission of light by a living organism as the result of a chemical reaction
Increase,Brightness,Bragg Diffraction,Diffraction from a three dimensional periodic structure such as atoms in a crystal. It is similar to what occurs when waves are scattered from a diffraction grating. Bragg diffraction is a consequence of interference between waves reflecting from different crystal planes.
Increase,Brightness,Brewster's Angle,"Brewster's angle (also known as the polarisation angle) is an angle of incidence at which light with a particular polarisation is perfectly transmitted through a transparent dielectric surface, with no reflection. When unpolarised light is incident at this angle, the light that is reflected from the surface is therefore perfectly polarised."
Increase,Brightness,Cathodoluminescence,"An optical and electrical phenomenon whereby a beam of electrons is generated by an electron gun (e.g. cathode ray tube) and then impacts on a luminescent material such as a phosphor, causing the material to emit visible light. The most common example is the screen of a television."
Increase,Brightness,Chemiluminescence,The emission of light (luminescence) with limited emission of heat as the result of a chemical reaction.
Increase,Brightness,Coatings,"A covering that is applied to an object. The aim of applying coatings is to improve surface properties of a bulk material usually referred to as a substrate. One can improve amongst others appearance, adhesion, wetability, corrosion resistance, wear resistance, scratch resistance, etc.. They may be applied as liquids, gases or solids."
Increase,Brightness,Coherent Light,"Two light waves are said to be coherent if they have a constant relative phase, which also implies that they have the same frequency."
Increase,Brightness,Combustion,"(or burning) A complex sequence of exothermic chemical reactions between a fuel and an oxidant accompanied by the production of heat or both heat and light in the form of either a glow or flames. Direct combustion by atmospheric oxygen is a reaction mediated by radical intermediates typically produced as a result of thermal runaway, where the heat generated by combustion is necessary to maintain the high temperature necessary for radical production."
Increase,Brightness,Conduction (electrical),"The movement of electrically charged particles through a transmission medium (electrical conductor). The movement of charge constitutes an electric current. The charge transport may result as a response to an electric field, or as a result of a concentration gradient in carrier density, that is, by diffusion ."
Increase,Brightness,Cyclotron Radiation,"Electromagnetic radiation emitted by moving charged particles deflected by a magnetic field. Cyclotron radiation is emitted by all charged particles travelling through magnetic fields, not just those in cyclotrons."
Increase,Brightness,Deflagration,"A technical term describing subsonic combustion that usually propagates through thermal conductivity (hot burning material heats the next layer of cold material and ignites it). Most 'fire' found in daily life, from flames to explosions, is technically deflagration. Deflagration is different from detonation (which is supersonic and propagates through shock compression)."
Increase,Brightness,Detonation,"Detonation involves a supersonic exothermic front accelerating through a medium that eventually drives a shock front propagating directly in front of it. Detonations are observed in both conventional solid and liquid explosives, as well as in reactive gases."
Increase,Brightness,Dichroic Filter,"A colour filter based on the use of the principle of interference, typically used to selectively pass light of a small range of colours while reflecting other colours"
Increase,Brightness,Diffraction,"Various phenomena which occur when a wave encounters an obstacle. It is described as the apparent bending of waves around small obstacles and the spreading out of waves past small openings. Very similar effects are observed when there is an alteration in the properties of the medium in which the wave is travelling, for example a variation in refractive index for light waves or in acoustic impedance for sound waves and these can also be referred to as diffraction effects."
Increase,Brightness,Diffraction Grating,"An optical component with a regular pattern, which splits (diffracts) light into several beams travelling in different directions. The directions of these beams depend on the spacing of the grating and the wavelength of the light so that the grating acts as a dispersive element. Because of this, gratings are commonly used in monochromators and spectrometers."
Increase,Brightness,Electric Arc,"An electrical breakdown of a gas which produces an ongoing plasma discharge, resulting from a current flowing through normally nonconductive media such as air"
Increase,Brightness,Electric Spark,"A type of electrostatic discharge that occurs when an electric field creates an ionized electrically conductive channel in air producing a brief emission of light and sound. A spark is formed when the electric field strength exceeds the dielectric field strength of air. This causes an increase in the number of free electrons and ions in the air, temporarily causing the air to become an electrical conductor through dielectric breakdown."
Increase,Brightness,Electro-Optic Effects,"A change in the optical properties of a material in response to an electric field that varies slowly compared with the frequency of light. The term encompasses a number of distinct phenomena, which can be subdivided into a) change of the absorption (electroabsorption, Franz-Keldysh effect, Quantum-confined Stark effect, electro-chromatic effect) and b) change of the refractive index(Pockels effect, Kerr Effect, electro-gyration)"
Increase,Brightness,Electrochemiluminescence,"A kind of luminescence produced during electrochemical reactions in solutions. In electrogenerated chemiluminescence, electrochemically generated intermediates undergo a highly exergonic reaction to produce an electronically excited state that then emits light."
Increase,Brightness,Electroluminescence,"An optical phenomenon and electrical phenomenon in which a material emits light in response to an electric current passed through it, or to a strong electric field."
Increase,Brightness,Electron Beam,"(also called Cathode Rays or e-beam) are streams of electrons observed in vacuum tubes, i.e. evacuated glass tubes that are equipped with at least two metal electrodes to which a voltage is applied, a cathode or negative electrode and an anode or positive electrode."
Increase,Brightness,Electroplating,"The process of using electrical current to reduce cations of a desired material from a solution and coat a conductive object with a thin layer of the material, such as a metal. Primarily used to bestow a desired property (e.g., abrasion and wear resistance, corrosion protection, lubricity, aesthetic qualities, etc.) to a surface that otherwise lacks that property. Also used to build up thickness on undersized parts."
Increase,Brightness,Electrostatic Discharge,The sudden and momentary electric current that flows between two objects at different electrical potentials
Increase,Brightness,Explosion,"A sudden increase in volume and release of energy in an extreme manner, usually with the generation of high temperatures and the release of gases."
Increase,Brightness,Fabry-Perot Interferometer,A system consisting of two parallel reflecting surfaces resulting in interference between the multiple reflections of light between the two reflecting surfaces. Also known as an Etalon.
Increase,Brightness,Flocculation,A process of contact and adhesion whereby the particles of a dispersion form larger-size clusters.
Increase,Brightness,Fluorescence,"Fluorescence is a luminescence that is mostly found as an optical phenomenon in cold bodies, in which the molecular absorption of a photon triggers the emission of a photon with a longer (less energetic) wavelength. The energy difference between the absorbed and emitted photons ends up as molecular rotations, vibrations or heat. Sometimes the absorbed photon is in the ultraviolet range, and the emitted light is in the visible range."
Increase,Brightness,Focusing,"The gathering of wavefronts of a wave (e.g. radiation) into a spherical or cylindical shape. Focusing of light is used in optics, however focusing can be applied to any radiation or wave."
Increase,Brightness,Fractoluminescence,"The emission of light from the fracture (rather than rubbing) of a crystal. Depending upon the atomic and molecular composition of the crystal, when the crystal fractures a charge separation can occur making one side of the fractured crystal +ve charged and the other side -ve charged. As in triboluminescence, if the charge separation results in a large enough electric potential, a discharge across the gap and through the bath gas between the interfaces can occur."
Increase,Brightness,Franz-Keldysh Effect,A change in optical absorption by a semiconductor when an electric field is applied. Used to create electroabsorption modulators.
Increase,Brightness,Fresnel Diffraction,"(or near-field diffraction) A process of diffraction which occurs when a wave passes through an aperture and diffracts in the near field, causing any diffraction pattern observed to differ in size and shape, depending on the distance between the aperture and the projection. It occurs due to the short distance in which the diffracted waves propagate. When the distance is increased, outgoing diffracted waves become planar and Fraunhofer diffraction occurs."
Increase,Brightness,Fresnel Lens,"A lens using less material compared to a conventional spherical lens by breaking the lens into a set of concentric annular sections. For each of these, the overall thickness of the lens is decreased, breaking the continuous surface of a standard lens into a set of surfaces of the same curvature, with discontinuities between them. This reduces the thickness (and weight and volume) of the lens, at the expense of reducing the imaging quality."
Increase,Brightness,Graphene,A one-atom-thick planar sheet of sp2-bonded carbon atoms that are densely packed in a honeycomb crystal lattice. It can be visualized as an atomic-scale chicken wire made of carbon atoms and their bonds. The name comes from graphite + -ene; graphite itself consists of many graphene sheets stacked together.
Increase,Brightness,Gravitational Lensing,"A gravitational lens is formed when the light from a very distant, bright source (such as a quasar) is 'bent' around a massive object (such as a cluster of galaxies) between the source object and the observer. The process is known as gravitational lensing, and is one of the predictions of Albert Einstein's general theory of relativity."
Increase,Brightness,Holes,A hole is a confined lack of structure in some part of an object.
Increase,Brightness,Image Processing,"Processing of images using mathematical operations by using any form of signal processing for which the input is an image, a series of images, or a video, such as a photograph or video frame The output of image processing may be either an image or a set of characteristics or parameters related to the image."
Increase,Brightness,Incandescence,The emission of light (visible electromagnetic radiation) from a hot body due to its temperature.
Increase,Brightness,Induction Heating,"The process of heating an electrically conducting object (usually a metal) by electromagnetic induction, where eddy currents are generated within the metal and resistance leads to Joule heating of the metal."
Increase,Brightness,Interference,"The addition (superposition) of two or more waves that result in a new wave pattern. As most commonly used, the term interference usually refers to the interaction of waves which are correlated or coherent with each other, either because they come from the same source or because they have the same or nearly the same frequency."
Increase,Brightness,Kerr Effect,"(or the quadratic electro-optic effect) A change in the refractive index of a material in response to an electric field. Distinct from the Pockels effect in that the induced index change is directly proportional to the square of the electric field instead of to the magnitude of the field. All materials show a Kerr effect, but certain liquids display the effect more strongly than other materials."
Increase,Brightness,Laser,A device that emits light (electromagnetic radiation) through a process called stimulated emission.
Increase,Brightness,Lens,"An optical device with perfect or approximate axial symmetry which transmits and refracts light, converging or diverging the beam."
Increase,Brightness,Light,Light is electromagnetic radiation of a wavelength that is visible to the human eye (in a range from about 380 or 400 nanometres to about 760 or 780 nm)
Increase,Brightness,Light Emitting Diode,"A semiconductor diode that emits light when an electric current is applied in the forward direction of the device, as in the simple LED circuit. The effect is a form of electroluminescence where incoherent and narrow-spectrum light is emitted from the p-n junction in a solid state material."
Increase,Brightness,Liquid Crystals,"Substances that exhibit a phase of matter that has properties between those of a conventional liquid, and those of a solid crystal."
Increase,Brightness,Luminescence,"The generation of light that usually occurs at low temperatures, and is thus a form of cold body radiation. It can be caused by chemical reactions, electrical energy, subatomic motions, or stress on a crystal. This distinguishes luminescence from incandescence, which is light generated by high temperatures."
Increase,Brightness,Mechanoluminescence,"Light emission resulting from any mechanical action on a solid. It can be produced through ultrasound, or through other means."
Increase,Brightness,Microsphere,"Small spherical particles, with diameters in the micrometer range (typically 1µm to 1000µm (1mm)). They may be used to encapsulate and transport other substances and/or control their release."
Increase,Brightness,Mirage (photothermal deflection),A naturally occurring optical phenomenon in which light rays are bent to produce a displaced image of distant objects or the sky.
Increase,Brightness,Moiré Effect,"An interference pattern created, for example, when two grids are overlaid at an angle, or when they have slightly different mesh sizes."
Increase,Brightness,Nanocomposite,"A multiphase solid material where one of the phases has one, two or three dimensions of less than 100 nanometers (nm), or structures having nano-scale repeat distances between the different phases that make up the material. Can include porous media, colloids, gels and copolymers, but is more usually taken to mean the solid combination of a bulk matrix and nano-dimensional phase(s)."
Increase,Brightness,Negative Index Metamaterials,"Artificial structures where the refractive index has a negative value over some frequency range. This does not occur in any known natural materials, and thus is only achievable with engineered structures known as metamaterials."
Increase,Brightness,Negative Refraction,"An electromagnetic phenomenon where light rays are refracted at an interface in the reverse sense to that normally expected. Negative refraction occurs at interfaces between materials at which one has an ordinary positive phase velocity (i.e. a positive refractive index), and the other has the more exotic negative phase velocity (refractive index)."
Increase,Brightness,Newton's Rings,"An interference pattern caused by the reflection of light between two surfaces - a spherical surface and an adjacent flat surface. When viewed with monochromatic light it appears as a series of concentric, alternating light and dark rings centered at the point of contact between the two surfaces. When viewed with white light, it forms a concentric ring pattern of rainbow colors because the different wavelengths of light interfere at different thicknesses of the air layer between the surfaces."
Increase,Brightness,Nuclear Fission,"The splitting of the nucleus of an atom into parts (lighter nuclei) often producing free neutrons and other smaller nuclei, which may eventually produce photons (in the form of gamma rays). Fission of heavy elements is an exothermic reaction which can release large amounts of energy both as electromagnetic radiation and as kinetic energy of the fragments (heating the bulk material where fission takes place)."
Increase,Brightness,Optical Fibre,A fibre (typically made of glass or plastic) that carries light along its length
Increase,Brightness,Organic Light-emitting Diode,(or Light Emitting Polymer (LEP) or Organic Electro Luminescence (OEL)) A Light Emitting Diode (LED) whose emissive electroluminescent layer is composed of a film of organic compounds. The layer usually contains a polymer substance that allows suitable organic compounds to be deposited. They are deposited in rows and columns onto a flat carrier by a simple 'printing' process. The resulting matrix of pixels can emit light of different colors.
Increase,Brightness,Phosphorescence,"A specific type of photoluminescence related to fluorescence. Unlike fluorescence, a phosphorescent material does not immediately re-emit the radiation it absorbs."
Increase,Brightness,Photochromism,"The reversible transformation of a chemical species between two forms by the absorption of electromagnetic radiation, where the two forms have different absorption spectra. Trivially, this can be described as a reversible change of colour upon exposure to light."
Increase,Brightness,Photoelasticity,A method used to determine the stress distribution in a material based upon changes in birefringence resulting from stress.
Increase,Brightness,Photoluminescence,"A process in which a substance absorbs photons (electromagnetic radiation) and then re-radiates photons. Quantum mechanically, this can be described as an excitation to a higher energy state and then a return to a lower energy state accompanied by the emission of a photon. One of many forms of luminescence (light emission) and is distinguished by photoexcitation (excitation by photons)."
Increase,Brightness,Photon Sieve,"A device for focusing light using diffraction and interference. It consists of a flat sheet of material full of pinholes that are arranged in a pattern which is similar to the rings in a Fresnel zone plate, but a sieve brings light to much sharper focus than a zone plate."
Increase,Brightness,Photonic Crystal,"Periodic optical (nano)structures that affect the propagation of electromagnetic waves, useful for controlling and manipulating the flow of light."
Increase,Brightness,Piezoluminescence,Luminescence produced by the action of pressure on certain solids
Increase,Brightness,Plasma,"A partially ionized gas, in which a certain proportion of electrons are free rather than being bound to an atom or molecule. The ability of the positive and negative charges to move somewhat independently makes the plasma electrically conductive so that it responds strongly to electromagnetic fields. Plasma therefore has properties quite unlike those of solids, liquids or gases and is considered to be a distinct state of matter."
Increase,Brightness,Plenoptic Camera,(also called a light-field camera) A camera that uses a microlens array to capture 4D light field information about a scene. Such light field information can be used to improve the solution of computer graphics and vision-related problems.
Increase,Brightness,Pockels Effect,"Produces birefringence in an optical medium induced by a constant or varying electric field. Used to make Pockels cells, which are voltage-controlled wave plates."
Increase,Brightness,Polarisation,"A property of waves that describes the orientation of their oscillations. For transverse waves such as many electromagnetic waves, it describes the orientation of the oscillations in the plane perpendicular to the wave's direction of travel. The oscillations may be oriented in a single direction (linear polarisation), or the oscillation direction may rotate as the wave travels (circular or elliptical polarisation)."
Increase,Brightness,Pyrophoricity,A pyrophoric substance ignites spontaneously in air at or below 55 degrees centigrade. The creation of sparks from metals is based on the pyrophoricity of small metal particles. The sparking mechanism in cigarette lighters is an example. Some liquids and gases are phyrophoric.
Increase,Brightness,Radiation,A process in which energetic particles or waves travel through a medium or space. There are two distinct types of radiation; ionizing and non-ionizing.
Increase,Brightness,Radioactive Decay,The process in which an unstable atomic nucleus spontaneously loses energy by emitting ionizing particles and radiation.
Increase,Brightness,Radioluminescence,Luminescence produced in a material by the bombardment of ionizing radiation such as beta particles. Examples include the tritium-excited luminous paints used on watch dials and gun sights.
Increase,Brightness,Reflection,"The change in direction of a wavefront at an interface between two different media so that the wavefront returns into the medium from which it originated. Common examples include the reflection of light, sound and water waves."
Increase,Brightness,Refraction,"The change in direction of a wave due to a change in its speed. This is most commonly observed when a wave passes from one medium to another at any angle other than 90° or 0°. Refraction of light is the most commonly observed phenomenon, but any type of wave can refract when it interacts with a medium, for example when sound waves pass from one medium into another or when water waves move into water of a different depth."
Increase,Brightness,Retroreflector,"A device or surface that reflects light, or other radiation, back to its source with minimum scattering."
Increase,Brightness,Scattering,"A general physical process where some forms of radiation, such as light, sound, or moving particles, are forced to deviate from a straight trajectory by one or more localized non-uniformities in the medium through which they pass (includes deviation of reflected radiation from the angle predicted by the law of reflection)."
Increase,Brightness,Scintillation,A flash of light produced in a transparent material by an ionization event.
Increase,Brightness,Second Harmonic Generation,"(or frequency doubling) A nonlinear optical process, in which photons interacting with a nonlinear material are effectively combined to form new photons with twice the energy, and therefore twice the frequency and half the wavelength of the initial photons."
Increase,Brightness,Solar Energy,Collection or use of energy from the Sun.
Increase,Brightness,Sonochemistry,"The effect of sonic waves and wave properties on chemical systems. Sonochemistry arises from acoustic cavitation: the formation, growth, and implosive collapse of bubbles in a liquid. This is demonstrated in phenomena such as ultrasound, sonication, sonoluminescence, and sonic cavitation."
Increase,Brightness,Sonoluminescence,The emission of short bursts of light from imploding bubbles in a liquid when excited by sound.
Increase,Brightness,Spatial Filter,An optical device which uses the principles of Fourier optics to alter the structure of a beam of coherent light or other electromagnetic radiation.
Increase,Brightness,Sulphur-Microwave Lamp,A highly efficient full-spectrum electrodeless lighting system whose light is generated by sulphur plasma excited by microwave radiation
Increase,Brightness,Synchrotron Radiation,"Electromagnetic radiation generated by the acceleration of ultrarelativistic (i.e., moving near the speed of light) charged particles through magnetic fields."
Increase,Brightness,Thermal Radiation,Electromagnetic radiation emitted from the surface of an object due to the object's temperature.
Increase,Brightness,Thermochromic Paint,"A paint based on colour-changing pigments. It involves the use of liquid crystals or leuco dye technology. After absorbing a certain amount of light or heat, the crystallic or molecular structure of the pigment reversibly changes in such a way that it absorbs and emits light at a different wavelength than at lower temperatures."
Increase,Brightness,Thermochromism,The ability of substance to change color due to a change in temperature. Thermochromism is one of several types of chromism. The two basic approaches are based on liquid crystals and leuco dyes.
Increase,Brightness,Thermoluminescence,"A form of luminescence that is exhibited by certain crystalline materials, such as some minerals, when previously absorbed energy from electromagnetic radiation or other ionizing radiation is re-emitted as light upon heating of the material. This phenomenon is distinct from that of black body radiation."
Increase,Brightness,Thin Films,Thin material layers ranging from fractions of a nanometre to several micrometres in thickness. Electronic semiconductor devices and optical coatings are the main applications benefiting from thin film construction.
Increase,Brightness,Total Internal Reflection,"An optical phenomenon that occurs when a ray of light strikes a medium boundary at an angle larger than a particular critical angle with respect to the normal to the surface. If the refractive index is lower on the other side of the boundary, no light can pass through and all of the light is reflected. The critical angle is the angle of incidence above which the total internal reflection occurs."
Increase,Brightness,Triboluminescence,"An optical phenomenon in which light is generated via the breaking of asymmetrical bonds in a crystal when that material is scratched, crushed, or rubbed. This is a variant of luminescence."
Increase,Brightness,Tritium,"A radioactive isotope of hydrogen. The nucleus of tritium contains one proton and two neutrons, whereas the nucleus of protium (by far the most abundant hydrogen isotope) contains one proton and no neutrons. Tritium decays into helium-3 by beta decay."
Increase,Brightness,Waveguide,"A structure which guides waves, such as electromagnetic waves or sound waves. There are different types of waveguide for each type of wave: electromagnetic, optical or acoustic."
Increase,Brightness,Waveguide (optics),"Waveguides used at optical frequencies are typically dielectric waveguides, structures in which a dielectric material with high permittivity, and thus high index of refraction, is surrounded by a material with lower permittivity. The structure guides optical waves by total internal reflection. The most common optical waveguide is optical fibre."
Increase,Brightness,Zone Plate,"A device used to focus electromagnetic ratiation (including light), using diffraction instead of refraction. It consists of a set of radially symmetric rings which alternate between opaque and transparent. Incident radiation diffracts around the opaque zones which can be spaced so that the diffracted radiation constructively interferes at a desired focus, creating an image there."
Increase,Colour,Bioluminescence,The production and emission of light by a living organism as the result of a chemical reaction
Increase,Colour,Cathodoluminescence,"An optical and electrical phenomenon whereby a beam of electrons is generated by an electron gun (e.g. cathode ray tube) and then impacts on a luminescent material such as a phosphor, causing the material to emit visible light. The most common example is the screen of a television."
Increase,Colour,Chemiluminescence,The emission of light (luminescence) with limited emission of heat as the result of a chemical reaction.
Increase,Colour,Colloidal Crystal,"A highly ordered array of particles which can be formed over a very long range (from a few millimeters to one centimeter) in length, and which appear analogous to their atomic or molecular counterparts. One of the finest natural examples of this phenomenon can be found in precious opal, where brilliant regions of pure spectral color result from close-packed domains of amorphous colloidal spheres of silicon dioxide (or silica)."
Increase,Colour,Dichroic Filter,"A colour filter based on the use of the principle of interference, typically used to selectively pass light of a small range of colours while reflecting other colours"
Increase,Colour,Doppler Effect,"The change in frequency and wavelength of a wave for an observer moving relative to the source of the waves. For waves that propagate in a medium, such as sound waves, the velocity of the observer and of the source are relative to the medium in which the waves are transmitted. The total Doppler effect may therefore result from motion of the source, motion of the observer, or motion of the medium."
Increase,Colour,Electro-Optic Effects,"A change in the optical properties of a material in response to an electric field that varies slowly compared with the frequency of light. The term encompasses a number of distinct phenomena, which can be subdivided into a) change of the absorption (electroabsorption, Franz-Keldysh effect, Quantum-confined Stark effect, electro-chromatic effect) and b) change of the refractive index(Pockels effect, Kerr Effect, electro-gyration)"
Increase,Colour,Electrochemiluminescence,"A kind of luminescence produced during electrochemical reactions in solutions. In electrogenerated chemiluminescence, electrochemically generated intermediates undergo a highly exergonic reaction to produce an electronically excited state that then emits light."
Increase,Colour,Fabry-Perot Interferometer,A system consisting of two parallel reflecting surfaces resulting in interference between the multiple reflections of light between the two reflecting surfaces. Also known as an Etalon.
Increase,Colour,Filter (optical),"Optical filters selectively transmits light having certain properties (often, a particular range of wavelengths, that is, range of colours of light), while blocking the remainder. Optical filters, generally, belong to one of two categories. The simplest, physically, is the absorptive filter, while the latter category, that of interference or dichroic filters, can be quite complex."
Increase,Colour,Image Processing,"Processing of images using mathematical operations by using any form of signal processing for which the input is an image, a series of images, or a video, such as a photograph or video frame The output of image processing may be either an image or a set of characteristics or parameters related to the image."
Increase,Colour,Laser,A device that emits light (electromagnetic radiation) through a process called stimulated emission.
Increase,Colour,Liquid Crystals,"Substances that exhibit a phase of matter that has properties between those of a conventional liquid, and those of a solid crystal."
Increase,Colour,Mechanoluminescence,"Light emission resulting from any mechanical action on a solid. It can be produced through ultrasound, or through other means."
Increase,Colour,Mirage (photothermal deflection),A naturally occurring optical phenomenon in which light rays are bent to produce a displaced image of distant objects or the sky.
Increase,Colour,Photonic Crystal,"Periodic optical (nano)structures that affect the propagation of electromagnetic waves, useful for controlling and manipulating the flow of light."
Increase,Colour,Piezoluminescence,Luminescence produced by the action of pressure on certain solids
Increase,Colour,Plenoptic Camera,(also called a light-field camera) A camera that uses a microlens array to capture 4D light field information about a scene. Such light field information can be used to improve the solution of computer graphics and vision-related problems.
Increase,Colour,Smoke,"A collection of airborne solid and liquid particulates and gases emitted when a material undergoes combustion or pyrolysis, together with the quantity of air that is entrained or otherwise mixed into the mass."
Increase,Colour,Thermoluminescence,"A form of luminescence that is exhibited by certain crystalline materials, such as some minerals, when previously absorbed energy from electromagnetic radiation or other ionizing radiation is re-emitted as light upon heating of the material. This phenomenon is distinct from that of black body radiation."
Increase,Colour,Thin Films,Thin material layers ranging from fractions of a nanometre to several micrometres in thickness. Electronic semiconductor devices and optical coatings are the main applications benefiting from thin film construction.
Increase,Colour,Total Internal Reflection,"An optical phenomenon that occurs when a ray of light strikes a medium boundary at an angle larger than a particular critical angle with respect to the normal to the surface. If the refractive index is lower on the other side of the boundary, no light can pass through and all of the light is reflected. The critical angle is the angle of incidence above which the total internal reflection occurs."
