action,object,result,result_description
Destroy,Solid,Oxidation,"A chemical reaction that involves the loss of electrons or an increase in the oxidation state by a molecule, atom or ion."
Destroy,Solid,Ozone,"Ozone (O3), or trioxygen, is a triatomic molecule, consisting of three oxygen atoms. It is an allotrope of oxygen that is much less stable than the diatomic allotrope (O2)."
Destroy,Solid,Photo-oxidation,Oxidation facilitated radiant energy such as UV or artificial light. This process is often the most significant component of weather degradation of polymers.
Destroy,Solid,Photodissociation,"A chemical reaction in which a chemical compound is broken down by photons. Any photon with sufficient energy can affect the chemical bonds of a chemical compound. Since a photon's energy is inversely proportional to its wavelength, electromagnetic waves with the energy of visible light or higher, such as ultraviolet light, x-rays and gamma rays are usually involved in such reactions."
Destroy,Solid,Piezomagnetism,"A phenomenon observed in some antiferromagnetic crystals. It is characterised by a linear coupling between the system's magnetic polarisation and mechanical strain. In a piezomagnetic, one may induce a spontaneous magnetic moment by applying physical stress, or a physical deformation by applying a magnetic field. Piezomagnetism differs from the related property of magnetostriction."
Destroy,Solid,Plasma,"A partially ionized gas, in which a certain proportion of electrons are free rather than being bound to an atom or molecule. The ability of the positive and negative charges to move somewhat independently makes the plasma electrically conductive so that it responds strongly to electromagnetic fields. Plasma therefore has properties quite unlike those of solids, liquids or gases and is considered to be a distinct state of matter."
Destroy,Solid,Pressure Drop,Pressure is an effect which occurs when a force is applied on a surface. Pressure is transmitted to solid boundaries or across arbitrary sections of fluid normal to these boundaries or sections at every point. Rapid pressure drop is a useful technique for applying force or breaking objects apart.
Destroy,Solid,Pulsed Magnet,Pulsed magnets can generate field strengths far in excess of conventional magnets. They come in two types: destructive and non-destructive.
Destroy,Solid,Pyrolysis,A thermochemical decomposition of organic material at elevated temperatures in the absence of oxygen. Pyrolysis typically occurs under pressure and at operating temperatures above 430 °C (800 °F). Pyrolysis is a special case of thermolysis.
Destroy,Solid,Pyrophoricity,A pyrophoric substance ignites spontaneously in air at or below 55 degrees centigrade. The creation of sparks from metals is based on the pyrophoricity of small metal particles. The sparking mechanism in cigarette lighters is an example. Some liquids and gases are phyrophoric.
Destroy,Solid,Radiation,A process in which energetic particles or waves travel through a medium or space. There are two distinct types of radiation; ionizing and non-ionizing.
Destroy,Solid,Radioactive Decay,The process in which an unstable atomic nucleus spontaneously loses energy by emitting ionizing particles and radiation.
Destroy,Solid,Redox Reactions,"Redox (shorthand for oxidation-reduction) reactions describe all chemical reactions in which atoms have their oxidation number (oxidation state) changed. This can be either a simple redox process, such as the oxidation of carbon to yield carbon dioxide (CO2) or the reduction of carbon by hydrogen to yield methane (CH4), or a complex process such as the oxidation of sugar(C6H12O6) in the human body through a series of complex electron transfer processes."
Destroy,Solid,Reduction,"A chemical reaction that involves the gain of electrons or a decrease in the oxidation state by a molecule, atom or ion."
Destroy,Solid,Resonance,"The tendency of a system to oscillate with larger amplitude at some frequencies than at others. These are known as the system's resonant frequencies. At these frequencies, even small periodic driving forces can produce large amplitude oscillations, because the system stores vibrational energy."
Destroy,Solid,Shaped Charge,"An explosive charge shaped to focus the effect of the explosive's energy. Various types are used to cut and form metal, initiate nuclear weapons, in the oil and gas industry and to penetrate armour. A typical modern lined shaped charge can penetrate armor steel to a depth of 7 or more times the diameter of the charge's cone, though greater depths of 10 times and above are now feasible."
Destroy,Solid,Shock Wave,"A type of propagating disturbance. Like an ordinary wave, it carries energy and can propagate through a medium (solid, liquid, gas or plasma) or through a field such as the electromagnetic field. Characterized by an abrupt, nearly discontinuous change in the characteristics of the medium. Associated with rapid rise in pressure, temperature and density of the flow. A shock wave travels through most media at a higher speed than an ordinary wave."
Destroy,Solid,Solvation,"(commonly called dissolution) The process of attraction and association of molecules of a solvent with molecules or ions of a solute. As ions dissolve in a solvent they spread out and become surrounded by solvent molecules. The bigger the ion, the more solvent molecules are able to surround it and the more it becomes solvated."
Destroy,Solid,Sonochemistry,"The effect of sonic waves and wave properties on chemical systems. Sonochemistry arises from acoustic cavitation: the formation, growth, and implosive collapse of bubbles in a liquid. This is demonstrated in phenomena such as ultrasound, sonication, sonoluminescence, and sonic cavitation."
Destroy,Solid,Sputtering,"A process whereby atoms are ejected from a solid target material due to bombardment of the target by energetic ions. It is commonly used for thin-film deposition, etching and analytical techniques"
Destroy,Solid,Steam Explosion,"A violent boiling or flashing of water into steam, occurring when water is either superheated, rapidly heated by fine hot debris produced within it, or the interaction of molten metals . The water changes from a liquid to a gas with extreme speed, increasing dramatically in volume."
Destroy,Solid,Sublimation,The change of the physical state of aggregation (or simply state) of matter directly from solid phase to gaseous phase without passing through an intermediate liquid phase.
Destroy,Solid,Tension,"The pulling force exerted by a string, cable, chain, or similar object on another object. It is the opposite of compression."
Destroy,Solid,Thermal Radiation,Electromagnetic radiation emitted from the surface of an object due to the object's temperature.
Destroy,Solid,Thermal Shock,"Cracking as a result of rapid temperature change. Thermal shock occurs when a thermal gradient causes different parts of an object to expand by different amounts. This differential expansion can be understood in terms of stress or of strain, equivalently. At some point, this stress overcomes the strength of the material, causing a crack to form. If nothing stops this crack from propagating through the material, it will cause the object's structure to fail."
Destroy,Solid,Thermolysis,"(or Thermal decomposition) A chemical decomposition caused by heat. The reaction is usually endothermic as heat is required to break chemical bonds in the compound undergoing decomposition. If decomposition is sufficiently exothermic, a positive feedback loop is created producing thermal runaway and possibly an explosion."
Destroy,Solid,Torque,"Torque (also called moment or moment of force) is the tendency of a force to rotate an object about an axis, fulcrum, or pivot. Just as a force is a push or a pull, a torque can be thought of as a twist. Torque is the rotational analogue of Force."
Destroy,Solid,Turbulence,"A fluid regime characterised by chaotic, stochastic property changes. This includes low momentum diffusion, high momentum convection, and rapid variation of pressure and velocity in space and time (flow that is not turbulent is called laminar flow)."
Destroy,Solid,Ultrasonic Vibration,Vibration at ultrasonic frequencies.
Destroy,Solid,Ultrasound,"Cyclic sound pressure with a frequency greater than the upper limit of human hearing. Although this limit varies from person to person, 20 kHz serves as a useful lower limit in describing ultrasound."
Destroy,Solid,Vibration,Mechanical oscillations about an equilibrium point. The oscillations may be periodic such as the motion of a pendulum or random such as the movement of a tire on a gravel road.
Destroy,Solid,Wear,The erosion of material from a solid surface by the action of another surface.
Destroy,Solid,Weathering,"The breaking down of Earth's rocks, soils and minerals through direct contact with the planet's atmosphere. Weathering occurs in situ, or 'with no movement', and thus should not be confused with erosion, which involves the movement of rocks and minerals by agents such as water, ice, wind, and gravity."
Destroy,Solid,Wedge,"A triangular shaped tool, a compound and portable inclined plane. It can be used to separate two objects, or portions of objects, lift an object, or hold an object in place. It operates by converting a force applied to the wide end into forces perpendicular to the inclined surfaces."
Destroy,Solid,Wiedemann Effect,A magnetoelastic effect. The twisting of a magnetic material when a helical magnetic field is applied to it.
Destroy,Solid,X-Ray,"A form of electromagnetic radiation. X-rays have a wavelength in the range of 0.01 to 10 nanometers, corresponding to frequencies in the range 30 petahertz to 30 exahertz (3 × 1016 Hz to 3 × 1019 Hz) and energies in the range 120 eV to 120 keV. They are shorter in wavelength than UV rays and longer than gamma rays. In many languages, X-radiation is called Röntgen radiation."
Detect,Divided Solid,Absorption (EM radiation),"The process by which the energy of a photon is taken up by matter, typically the electrons of an atom. The electromagnetic energy is transformed to another form of energy, e.g. to heat."
Detect,Divided Solid,Absorption Spectroscopy,"Spectroscopic techniques that measure the absorption of radiation as a function of frequency or wavelength, due to its interaction with a sample."
Detect,Divided Solid,Accelerometer,A device for measuring acceleration and gravity induced reaction forces.
Detect,Divided Solid,Acoustic Microscopy,"A microscopy technique that employs very high or ultra high frequency ultrasound. Acoustic microscopes operate non-destructively and penetrate most solid materials to make visible images of internal features, including defects such as cracks, delaminations and voids."
Detect,Divided Solid,Acoustic Tweezers,"A technology for controlling the movement of objects by sound waves. In a standing acoustic field, objects will experience an acoustic radiation force that moves the objects to special regions of the acoustic field.Depending on the properties of the objects, they can be moved to either acoustic pressure nodes or pressure antinodes."
Detect,Divided Solid,Acoustics,"The the use of structures or other systems to affect the generation, propagation and reception of mechanical waves and vibrations."
Detect,Divided Solid,Activated Alumina,A manufactured form of alumina (aluminium oxide) having a nanoporous structure.
Detect,Divided Solid,Adhesive,"A compound that adheres or bonds two items together. Adhesives may come from either natural or synthetic sources. Some modern adhesives are extremely strong, and are becoming increasingly important in modern construction and industry."
Detect,Divided Solid,Aeration,"The process by which air is circulated through, mixed with or dissolved in a liquid or substance."
Detect,Divided Solid,Aerophonics,"The geration of sound using a column of air vibrating in a tube, typically in the case of a musical wind instrument."
Detect,Divided Solid,Angle of Repose,"(or critical angle of repose) The minimum angle made by the inclined plane with the horizontal surface such that the body lying on the inclined plane is just at the verge of sliding down along the inclined plane. When bulk granular materials are poured onto a horizontal surface, a conical pile will form. The internal angle between the surface of the pile and the horizontal surface is known as the angle of repose and is related to the density, surface area and shapes of the particles, and the coefficient of friction of the material."
Detect,Divided Solid,Archimedes' Principle (Buoyancy),"The upward force on an object produced by the surrounding liquid or gas in which it is fully or partially immersed, due to the pressure difference of the fluid between the top and bottom of the object. The net upward buoyancy force is equal to the magnitude of the weight of fluid displaced by the body. This force enables the object to float or at least to seem lighter."
Detect,Divided Solid,Balance,"An instrument or method of comparing the weight (and hence, usually the mass) of two objects."
Detect,Divided Solid,Betavoltaics,"Generators of electrical current, in effect a form of battery, which use energy from a radioactive source emitting beta particles (electrons). A common source used is the hydrogen isotope, tritium. Unlike most nuclear power sources betavoltaics use a non-thermal conversion process. Betavoltaics are particularly well-suited to low-power electrical applications where long life of the energy source is needed."
Detect,Divided Solid,Bioluminescence,The production and emission of light by a living organism as the result of a chemical reaction
Detect,Divided Solid,Brazil Nut Effect,A phenomenon in which the largest particles end up on the surface when a granular material containing a mixture of objects of different sizes is shaken. Also known as the muesli effect.
Detect,Divided Solid,Brush,"A device with bristles, wire or other filaments, used for cleaning, grooming hair, applying liquids such as paint, sealing gaps between moving surfaces, deburring and other kinds of surface finishing, and for many other purposes."
Detect,Divided Solid,Capacitance,The property of a device or material medium to store an electric charge as a result of an electric potential. The most common form of charge storage device is a two-plate capacitor.
Detect,Divided Solid,Centrifuge,"A piece of equipment, generally driven by a motor, that puts an object in rotation around a fixed axis, applying a force perpendicular to the axis. The centrifuge works using the sedimentation principle, where the centripetal acceleration is used to evenly distribute substances (usually present in a solution for small scale applications) of greater and lesser density."
Detect,Divided Solid,Chemiluminescence,The emission of light (luminescence) with limited emission of heat as the result of a chemical reaction.
Detect,Divided Solid,Chromatography,"A family of laboratory techniques for the separation of mixtures. It involves passing a mixture dissolved in a 'mobile phase' through a stationary phase, which separates the analyte to be measured from other molecules in the mixture and allows it to be isolated. Chromatography may be preparative or analytical."
Detect,Divided Solid,Coffee Ring Effect,A pattern left by a puddle of particle-laden liquid after it evaporates. Named after the characteristic ring-like deposit along the perimeter of a spill of coffee. The pattern is due to capillary flow induced by the differential evaporation rates across the drop: liquid evaporating from the edge is replenished by liquid from the interior. The resulting edgeward flow can carry nearly all the dispersed material to the edge.
Detect,Divided Solid,Coherent Light,"Two light waves are said to be coherent if they have a constant relative phase, which also implies that they have the same frequency."
Detect,Divided Solid,Colloid Vibration Current,An electroacoustic phenomenon that arises when ultrasound propagates through a fluid that contains ions and either solid particles or emulsion droplets.
Detect,Divided Solid,Comb,A toothed device used in hair care for straightening and cleaning hair or other fibres. More generally a device having a comb-like form.
Detect,Divided Solid,Compton Scattering,"The decrease in energy (increase in wavelength) of an X-ray or gamma ray photon, when it interacts with matter."
Detect,Divided Solid,Conduction (electrical),"The movement of electrically charged particles through a transmission medium (electrical conductor). The movement of charge constitutes an electric current. The charge transport may result as a response to an electric field, or as a result of a concentration gradient in carrier density, that is, by diffusion ."
Detect,Divided Solid,Coulter Counter,"An apparatus for counting and sizing particles and cells. It is used, for example, for bacteria or prokaryotic cells and air quality particle size distributions. The counter detects change in electrical conductance of a small aperture as fluid containing cells is drawn through. Cells, being non-conducting particles, alter the effective cross-section of the conductive channel."
Detect,Divided Solid,Creaming,"The migration of the dispersed phase of an emulsion, under the influence of buoyancy. The particles float upwards or sink, depending on how large they are and how much less dense or more dense they may be than the continuous phase, and also how viscous or how thixotropic the continuous phase might be. For as long as the particles remain separated, the process is called creaming."
Detect,Divided Solid,Cryptophanes,A class of organic supramolecular compounds studied and synthesised primarily for molecular encapsulation and recognition. One possible application of cryptophanes is encapsulation and storage of hydrogen gas for potential use in fuel cell vehicles. Cryptophanes can also serve as containers in which organic chemists can carry out reactions that would otherwise be difficult to run under normal conditions.
Detect,Divided Solid,Cyclotron Radiation,"Electromagnetic radiation emitted by moving charged particles deflected by a magnetic field. Cyclotron radiation is emitted by all charged particles travelling through magnetic fields, not just those in cyclotrons."
Detect,Divided Solid,Depth of Field,"In optics, particularly as it relates to film and photography, depth of field is the distance between the nearest and farthest objects in a scene that appear acceptably sharp in an image."
Detect,Divided Solid,Dielectric Permittivity,"The measure of how much resistance is encountered when forming an electric field in a medium. In other words, permittivity is a measure of how an electric field affects, and is affected by, a dielectric medium. Permittivity is determined by the ability of a material to polarize in response to the field, and thereby reduce the total electric field inside the material. Thus, permittivity relates to a material's ability to transmit (or 'permit') an electric field."
Detect,Divided Solid,Diffraction,"Various phenomena which occur when a wave encounters an obstacle. It is described as the apparent bending of waves around small obstacles and the spreading out of waves past small openings. Very similar effects are observed when there is an alteration in the properties of the medium in which the wave is travelling, for example a variation in refractive index for light waves or in acoustic impedance for sound waves and these can also be referred to as diffraction effects."
Detect,Divided Solid,Dorn Effect,"(aka Sedimentation Potential). Potential difference resulting from motion of particles through water, typically due to gravity or centrifugation. The motion disrupts equilibrium symmetry of particle's double layer, viscous flow around the particles drags ions of the diffuse layer from them causing slight displacement between surface charge & electric charge of the diffuse layer, giving the particle a dipole moment, generating electric field."
Detect,Divided Solid,Drag,"A drag (sometimes called fluid resistance) is the force that resists the movement of a solid object through a fluid (a liquid or gas). The most familiar form of drag is made up of friction forces, which act parallel to the object's surface, plus pressure forces, which act in a direction perpendicular to the object's surface."
Detect,Divided Solid,Echo,"A reflection of sound, arriving at the listener some time after the direct sound. Typical examples are the echo produced by the bottom of a well, by a building, or by the walls of an enclosed room. A true echo is a single reflection of the sound source. The time delay is the extra distance divided by the speed of sound."
Detect,Divided Solid,Eddy Currents,An electrical phenomenon caused when a conductor is exposed to a changing magnetic field due to relative motion of the field source and conductor; or due to variations of the field with time. This can cause eddys of circulating current within the conductor which create electromagnets with magnetic fields that opposes the change of the magnetic field.
Detect,Divided Solid,Electret,"An Electret is a dielectric material that has a quasi-permanent electric charge or dipole polarisation. An electret generates internal and external electric fields, and is the electrostatic equivalent of a permanent magnet."
Detect,Divided Solid,Electric Arc,"An electrical breakdown of a gas which produces an ongoing plasma discharge, resulting from a current flowing through normally nonconductive media such as air"
Detect,Divided Solid,Electric Field,The space surrounding an electric charge or in the presence of a time-varying magnetic field has a property called an electric field (that can also be equated to electric flux density). This electric field exerts a force on other electrically charged objects.
Detect,Divided Solid,Electric Sonic Amplitude,"Occurs in colloids, emulsions and other heterogeneous fluids under the influence of an oscillating electric field. This field moves particles relative to the liquid, which generates ultrasound."
Detect,Divided Solid,Electrical Impedance Tomography,"A medical imaging technique in which an image of the conductivity or permittivity of part of the body is inferred from surface electrical measurements. Typically, conducting electrodes are attached to the skin of the subject and small alternating currents are applied to some or all of the electrodes. The resulting electrical potentials are measured, and the process may be repeated for numerous different configurations of applied current."
Detect,Divided Solid,Electrical Resistance,The degree to which an object opposes an electric current flowing through it (usually measured in Ohms). A function of both its physical geometry and the resistivity of the material the object is made from.
Detect,Divided Solid,Electrical Resistivity Tomography,"Electrical resistivity tomography (ERT) or electrical resistivity imaging (ERI) is a geophysical technique for imaging sub-surface structures from electrical measurements made at the surface, or by electrodes in one or more boreholes. It is closely related to the medical imaging technique electrical impedance tomography (EIT), and mathematically is the same inverse problem. In contrast to medical EIT however ERT is essentially a direct current method."
Detect,Divided Solid,Electro-Optic Effects,"A change in the optical properties of a material in response to an electric field that varies slowly compared with the frequency of light. The term encompasses a number of distinct phenomena, which can be subdivided into a) change of the absorption (electroabsorption, Franz-Keldysh effect, Quantum-confined Stark effect, electro-chromatic effect) and b) change of the refractive index(Pockels effect, Kerr Effect, electro-gyration)"
Detect,Divided Solid,Electrocaloric Effect,A phenomenon in which a material shows a reversible temperature change under an applied electric field. Often considered the physical inverse of the pyroelectric effect. The effect comes from the voltage raising or lowering the entropy of the system. Analogous to the magnetocaloric effect.
Detect,Divided Solid,Electroluminescence,"An optical phenomenon and electrical phenomenon in which a material emits light in response to an electric current passed through it, or to a strong electric field."
Detect,Divided Solid,Electromagnet,"A type of magnet whose magnetic field is produced by the flow of electric current. The magnetic field disappears when the current ceases. Electromagnets are very widely used as components of other electrical devices, such as motors, generators, relays, loudspeakers, hard disks, MRI machines, scientific instruments, and magnetic separation equipment, as well as being employed as industrial lifting electromagnets for picking up and moving heavy iron objects like scrap iron."
Detect,Divided Solid,Electromagnetic Induction,The generation of electromotive force (EMF) in a current-carrying conductor exposed to a changing magnetic field
Detect,Divided Solid,Electromechanical Film,"A thin membrane whose thickness is related to an electric voltage. It can be used as a pressure sensor, microphone, or a speaker. It can also convert electrical energy to vibration, functioning as an actuator."
Detect,Divided Solid,Electron Beam,"(also called Cathode Rays or e-beam) are streams of electrons observed in vacuum tubes, i.e. evacuated glass tubes that are equipped with at least two metal electrodes to which a voltage is applied, a cathode or negative electrode and an anode or positive electrode."
Detect,Divided Solid,Electron Paramagnetic Resonance,"(EPR) or electron spin resonance (ESR) spectroscopy is a technique for studying chemical species that have one or more unpaired electrons, such as organic and inorganic free radicals or inorganic complexes possessing a transition metal ion. The basic physical concepts of EPR are analogous to those of nuclear magnetic resonance (NMR), but it is electron spins that are excited instead of spins of atomic nuclei"
Detect,Divided Solid,Electropermanent Magnet,"A type of magnet which consists of both an electromagnet and a dual material permanent magnet, in which the magnetic field produced by the electromagnet is used to change the magnetisation of the permanent magnet. Allows creating controllable permanent magnets where the magnetic effect can be maintained without requiring a continuous supply of electrical energy."
Detect,Divided Solid,Electrophoresis,The motion of dispersed particles relative to a fluid under the influence of an electric field.
Detect,Divided Solid,Electrostatic Induction,"A redistribution of electrical charge in an object, caused by the influence of nearby charges. Electrostatic generators, such as the Wimshurst machine, the Van de Graaff generator and the electrophorus, use this principle. Electrostatic induction should not be confused with electromagnetic induction; both are often referred to as 'induction'."
Detect,Divided Solid,Electrostatics,The phenomena arising from stationary or slowly moving electric charges
Detect,Divided Solid,Enzyme,"Proteins that catalyze (i.e., increase the rates of) chemical reactions. Almost all chemical reactions in a biological cell need enzymes in order to occur at rates sufficient for life. Enzymes differ from most other catalysts in that they are highly specific for their substrates"
Detect,Divided Solid,Feedback,A circular causal process whereby some proportion of a system's output is returned (fed back) to the input. This is often used to control the dynamic behavior of the system.
Detect,Divided Solid,Fermentation,"In an industrial context, fermentation refers to the breakdown of organic substances and re-assembly into other substances. Somewhat paradoxically, fermenter culture in industrial capacity often refers to highly oxygenated and aerobic growth conditions, whereas fermentation in the biochemical context is a strictly anaerobic process."
Detect,Divided Solid,Ferrofluid,"A liquid which becomes strongly magnetised in the presence of a magnetic field. Ferrofluids are colloidal mixtures composed of nanoscale ferromagnetic, or ferrimagnetic, particles suspended in a carrier fluid, usually an organic solvent or water. The ferromagnetic nano-particles are coated with a surfactant to prevent their agglomeration (due to van der Waals and magnetic forces)."
Detect,Divided Solid,Ferromagnetic Powder,Ferromagnetic material in a powdered or finely divided form. Ferromagnetic materials (such as iron) form permanent magnets and/or exhibit strong interactions with magnets. Ferromagnetic materials lose their ferromagnetic properties above a characteristic temperature (the Curie Point).
Detect,Divided Solid,Ferromagnetism,"The mechanism by which certain materials (such as iron) form permanent magnets and/or exhibit strong interactions with magnets. Responsible for commonly observed magnetism phenomena, e.g. 'fridge magnets. A material is 'ferromagnetic' only if all its magnetic ions add a positive contribution to the net magnetisation. If some of them subtract from the net magnetisation (i.e. are partially anti-aligned), then the material is 'ferrimagnetic'."
Detect,Divided Solid,Filter (physical),"A device (usually a membrane or layer) that is designed to block certain objects or substances while letting others through. Filters are often used to remove harmful substances from air or water, for example to remove air pollution, to make water drinkable, to prepare coffee. In domestic food and drink preparation where bulk solids are removed from liquids, this is often called a strainer."
Detect,Divided Solid,Flow Separation,"For a solid object travelling through a fluid (or alternatively a stationary object exposed to a moving fluid) flow separation occurs when the boundary layer travels far enough against an adverse pressure gradient that the speed of the boundary layer falls almost to zero.The fluid flow becomes detached from the surface of the object, and instead takes the forms of eddies and vortices."
Detect,Divided Solid,Fluorescence,"Fluorescence is a luminescence that is mostly found as an optical phenomenon in cold bodies, in which the molecular absorption of a photon triggers the emission of a photon with a longer (less energetic) wavelength. The energy difference between the absorbed and emitted photons ends up as molecular rotations, vibrations or heat. Sometimes the absorbed photon is in the ultraviolet range, and the emitted light is in the visible range."
Detect,Divided Solid,Ford Viscosity Cup,A simple gravity device that permits the timed flow of a known volume of liquid passing through an orifice located at the bottom of the cup.
Detect,Divided Solid,Fractal Forms,"A fractal is generally 'a rough or fragmented geometric shape that can be split into parts, each of which is (at least approximately) a reduced-size copy of the whole,' a property called self-similarity. A mathematical fractal is based on an equation that undergoes iteration, a form of feedback based on recursion."
Detect,Divided Solid,Fractionation,"A separation process in which a certain quantity of a mixture (solid, liquid, solute, suspension or isotope) is divided up in a number of smaller quantities (fractions) in which the composition changes according to a gradient. Fractions are collected based on differences in a specific property of the individual components."
Detect,Divided Solid,Fractoluminescence,"The emission of light from the fracture (rather than rubbing) of a crystal. Depending upon the atomic and molecular composition of the crystal, when the crystal fractures a charge separation can occur making one side of the fractured crystal +ve charged and the other side -ve charged. As in triboluminescence, if the charge separation results in a large enough electric potential, a discharge across the gap and through the bath gas between the interfaces can occur."
Detect,Divided Solid,Free Surface Effect,"One of several mechanisms where a craft can become unstable and roll-over (capsize). It refers to the tendency of liquids  and of aggregates of small solid objects, like seeds, gravel, or crushed ore which can act as liquids  to move in response to changes in the attitude of a craft's cargo holds, decks, or liquid tanks in reaction to operator-induced motions (or sea states caused by waves & wind acting upon the craft)."
Detect,Divided Solid,Friction,The force resisting the relative motion of two surfaces in contact or a surface in contact with a fluid (e.g. air on an aircraft or water in a pipe).
Detect,Divided Solid,Froth Floatation,"A process for selectively separating hydrophobic materials from hydrophilic. Finely ground raw material is mixed with water to form a slurry. The desired mineral is rendered hydrophobic by the addition of a surfactant or collector chemical. The slurry is there areated (e.g by air or nitrogen). The hydrophobic particles attach to the air bubbles, which rise to the surface, forming a froth which can be removed for further refining."
Detect,Divided Solid,Funnel,"A funnel is a pipe with a wide, often conical mouth and a narrow stem. It is used to channel liquid or fine-grained substances into containers with a small opening. Without a funnel, much spillage would occur."
Detect,Divided Solid,Gettering,"A process for removal of impurities by reacting them with or attracting them to a suitable agent or part of the system (a 'getter'), with the result that their harmful effect is eliminated. Gettering originated in vaccuum tubes, where Ti was used to getter trace remnant gasses. Gettering is important today for the removal of unwanted trace elements (typically metals) from Silicon integrated circuits."
Detect,Divided Solid,Gravitation,"A natural phenomenon by which objects with mass attract one another. In everyday life, gravitation is most commonly thought of as the agency which lends weight to objects with mass."
Detect,Divided Solid,Halbach Array,"A special arrangement of permanent magnets that augments the magnetic field on one side of the array while cancelling the field to near zero on the other side. Has many applications ranging from the humble refrigerator magnet through industrial applications such as the brushless AC motor and magnetic coupling, to high-tech applications such as wiggler magnets used in particle accelerators and free electron lasers."
Detect,Divided Solid,Hall Effect,"The potential difference (Hall voltage) on the opposite sides of an electrical conductor through which there is an electric current, created by a magnetic field applied perpendicularly to the current."
Detect,Divided Solid,Hinge,A mechanical mechanism that allows mutal rotation of two joined objects around a joined common axis.
Detect,Divided Solid,Holes,A hole is a confined lack of structure in some part of an object.
Detect,Divided Solid,Hot Chocolate Effect,"The pitch heard from tapping a cup of hot liquid rises after addition of a soluble powder. May be observed by stirring chocolate powder into a mug of hot milk, tapping bottom of mug with a spoon while milk is in motion. Pitch of the taps will increase progressively. Subsequent stirring decreases the pitch. Due to the effect of bubble density on the speed of sound in the liquid. The note heard is the frequency of standing wave with fixed wavelength of liquid column height."
Detect,Divided Solid,Image Processing,"Processing of images using mathematical operations by using any form of signal processing for which the input is an image, a series of images, or a video, such as a photograph or video frame The output of image processing may be either an image or a set of characteristics or parameters related to the image."
Detect,Divided Solid,Incandescence,The emission of light (visible electromagnetic radiation) from a hot body due to its temperature.
Detect,Divided Solid,Infrared Radiation,"Infrared (IR) radiation is electromagnetic radiation whose wavelength is longer than that of visible light (400-700 nm), but shorter than that of terahertz radiation (3-300 µm) and microwaves (~30,000 µm). Infrared radiation spans roughly three orders of magnitude (750 nm and 1000 µm)."
Detect,Divided Solid,Iridescence,"(also known as goniochromism) The property of certain surfaces which appear to change colour as the angle of view changes. Iridescence is commonly seen in items such as soap bubbles, butterfly wings, and sea shells. Caused by multiple reflections from multi-layered, semi-transparent surfaces in which phase shift and interference of the reflections modulates the incident light"
Detect,Divided Solid,Joule Heating,"The process by which the passage of an electric current through a conductor releases heat. Heat generated is a function of current, resistance and time. Also known as the Joule-Lenz effect, Ohmic heating or resitive heating."
Detect,Divided Solid,Lamella,"A gill-shaped structure: fine sheets of material held adjacent to one another, often with fluid in-between. They appear in biological and engineering contexts, such as filters and heat exchangers. The microscopic structures in bone and nacre are lamellae in the materials science sense of the word."
Detect,Divided Solid,Laser,A device that emits light (electromagnetic radiation) through a process called stimulated emission.
Detect,Divided Solid,Laser Doppler Velocimetry,"Using the Doppler shift in a laser beam to measure the velocity in transparent or semi-transparent fluid flows, or the linear or vibratory motion of opaque, reflecting, surfaces. Particles (either naturally occurring or induced) entrained in the fluid pass through interferance fringes generated by two monochromatic laser beams. The reflected light fluctuates in intensity, the frequency of which is equivalent to the Doppler shift between the incident and scattered light, and is thus proportional to the particle velocity."
Detect,Divided Solid,Lens,"An optical device with perfect or approximate axial symmetry which transmits and refracts light, converging or diverging the beam."
Detect,Divided Solid,Light,Light is electromagnetic radiation of a wavelength that is visible to the human eye (in a range from about 380 or 400 nanometres to about 760 or 780 nm)
Detect,Divided Solid,Luminescence,"The generation of light that usually occurs at low temperatures, and is thus a form of cold body radiation. It can be caused by chemical reactions, electrical energy, subatomic motions, or stress on a crystal. This distinguishes luminescence from incandescence, which is light generated by high temperatures."
Detect,Divided Solid,Magnetic Field,"A vector field which surrounds magnets and electric currents, and is detected by the force it exerts on moving electric charges and on magnetic materials. When placed in a magnetic field, magnetic dipoles tend to align their axes parallel to the magnetic field. Magnetic fields also have their own energy with an energy density proportional to the square of the field intensity."
Detect,Divided Solid,Magnetism,"One of the phenomena by which materials exert attractive or repulsive forces on other materials. Some well-known materials that exhibit easily detectable magnetic properties (called magnets) are nickel, iron, cobalt, and their alloys; however, all materials are influenced to greater or lesser degree by the presence of a magnetic field."
Detect,Divided Solid,Magnetometer,An instrument used to measure the strength and/or direction of the magnetic field.
Detect,Divided Solid,Mechanoluminescence,"Light emission resulting from any mechanical action on a solid. It can be produced through ultrasound, or through other means."
Detect,Divided Solid,Metastability,A general scientific concept which describes states of delicate equilibrium. A system is in a metastable state when it is in equilibrium (not changing with time) but is susceptible to fall into lower-energy states with only slight interaction. It is analogous to being at the bottom of a small valley when there is a deeper valley close by
Detect,Divided Solid,Microwave Radiation,"Microwaves are electromagnetic waves with wavelengths ranging from as long as one meter to as short as one millimeter, or equivalently, with frequencies between 300 MHz (0.3 GHz) and 300 GHz."
Detect,Divided Solid,Moment of Inertia,"(or mass moment of inertia, rotational inertia, polar moment of inertia of mass, or the angular mass). The inertia of a rotating body with respect to its rotation. The moment of inertia plays much the same role in rotational dynamics as mass does in linear dynamics,"
